Date,Rainfall_mm,Temperature_C,Humidity_pct,pH_Level,Turbidity_NTU,Flow_Rate_m3h,Daily_Usage_m3,Water_Availability_Level
2016-01-01,2.47,23.29,67.4,6.95,2.05,634.78,4333.13,5448.61
2016-01-02,4.57,20.71,50.82,7.07,5.63,536.15,4925.82,5116.73
2016-01-03,0.14,33.15,22.51,7.03,1.61,486.13,4522.36,4828.85
2016-01-04,0.45,33.05,54.57,7.29,8.15,535.84,4899.41,4484.37
2016-01-05,0.56,33.04,45.24,6.96,3.25,517.28,4848.05,4546.7
2016-01-06,0.22,18.36,45.32,7.26,1.96,476.42,5010.05,4644.33
2016-01-07,10.47,38.72,64.17,7.28,9.5,600.02,4876.59,5396.44
2016-01-08,2.41,32.18,69.28,7.43,2.27,610.71,5113.52,4484.33
2016-01-09,0.11,29.34,32.22,7.05,0.87,526.31,5129.22,4295.32
2016-01-10,2.28,28.76,28.03,7.13,5.24,493.96,4401.19,5251.18
2016-01-11,1.23,34.99,49.42,7.02,2.23,557.63,4756.95,4666.05
2016-01-12,0.63,25.03,58.6,6.98,3.71,475.3,5015.31,4546.98
2016-01-13,1.35,27.08,45.93,7.38,3.79,515.83,4703.59,4890.01
2016-01-14,0.99,26.68,46.84,7.4,3.36,511.43,4632.02,4933.44
2016-01-15,4.12,30.21,49.11,7.09,5.5,617.43,4504.77,5303.26
2016-01-16,1.16,25.88,42.2,6.42,3.17,595.15,4512.97,5085.64
2016-01-17,1.24,19.12,57.05,7.04,2.39,520.01,4806.33,4934.86
2016-01-18,1.27,32.17,44.08,7.44,2.4,519.28,4570.15,4913.16
2016-01-19,1.96,29.66,59.15,7.42,10.79,492.63,4594.59,5008.52
2016-01-20,1.31,15.66,49.04,7.08,1.01,453.87,5192.29,4625.26
2016-01-21,0.67,13.99,43.29,7.32,1.96,421.09,4748.02,5038.64
2016-01-22,0.59,23.78,74.92,7.47,10.14,457.05,5146.46,4436.45
2016-01-23,0.33,18.31,55.41,6.8,1.9,457.55,4484.18,5182.31
2016-01-24,1.32,25.31,57.18,7.39,7.61,509.93,4329.25,5296.27
2016-01-25,1.76,25.03,65.14,7.41,10.97,458.06,5036.91,4638.35
2016-01-26,0.56,28.92,48.61,7.0,3.49,570.08,5027.27,4450.64
2016-01-27,1.69,21.14,10.0,7.36,1.11,418.63,4384.82,5361.62
2016-01-28,2.26,31.15,43.69,7.24,7.07,473.18,4825.71,4777.48
2016-01-29,2.91,21.53,63.72,7.62,2.99,530.29,4590.52,5269.63
2016-01-30,1.52,24.74,76.43,7.69,1.74,486.71,4340.18,5317.15
2016-01-31,0.81,27.79,51.44,7.01,5.97,452.04,4493.7,5031.62
2016-02-01,3.11,22.6,36.64,6.98,3.76,584.49,4906.98,4951.9
2016-02-02,20.22,11.8,38.77,7.58,10.49,463.26,4585.42,7200.18
2016-02-03,0.07,28.0,42.66,7.05,2.95,484.92,4476.8,4970.27
2016-02-04,1.7,28.81,71.68,6.77,4.25,407.62,4844.9,4749.21
2016-02-05,5.4,20.48,54.86,7.32,4.37,536.21,5006.65,5123.47
2016-02-06,0.14,19.06,41.26,7.19,7.83,487.68,4627.31,5005.17
2016-02-07,0.01,23.42,23.34,6.99,6.74,567.67,4942.71,4590.23
2016-02-08,1.54,23.95,59.12,7.3,5.18,571.13,4113.92,5561.18
2016-02-09,4.25,28.02,34.31,7.17,3.71,423.61,5038.25,4825.97
2016-02-10,1.13,21.38,69.97,7.31,2.21,583.95,5098.0,4587.73
2016-02-11,0.25,29.09,44.63,7.29,0.74,499.86,4653.93,4789.23
2016-02-12,2.33,31.35,39.51,7.87,5.72,494.37,5174.39,4432.0
2016-02-13,0.3,23.26,54.62,7.37,0.6,516.67,4372.2,5192.73
2016-02-14,0.34,22.14,76.92,6.73,5.47,499.03,5658.15,3932.82
2016-02-15,1.85,25.2,59.63,7.17,6.26,574.22,4909.1,4771.48
2016-02-16,0.99,34.61,46.97,6.5,7.3,535.08,4487.16,4919.31
2016-02-17,2.51,22.89,55.26,7.65,2.85,453.91,4689.16,5103.85
2016-02-18,0.61,32.06,34.39,7.47,1.82,561.43,4802.69,4617.3
2016-02-19,0.65,28.73,49.97,7.74,2.43,516.03,5215.99,4274.16
2016-02-20,1.37,20.94,59.52,7.62,1.25,537.65,5034.88,4682.87
2016-02-21,1.89,26.04,50.15,7.02,1.18,482.36,4624.96,5043.64
2016-02-22,0.99,32.46,33.74,7.21,3.93,501.36,4596.02,4853.4
2016-02-23,1.61,28.72,37.0,7.22,3.08,481.07,4366.45,5220.33
2016-02-24,1.18,24.61,51.68,7.24,2.55,484.1,4786.7,4839.21
2016-02-25,1.04,24.98,50.34,6.98,2.28,520.37,4900.22,4704.67
